Villanova Radford
VirginiaTech Alabama
WestVirginia MurrayState
WichitaState Marshall
Florida St.Bonaventure
TexasTech StephenF.Austin
Arkansas Butler
Purdue CalStateFullerton
Xavier TexasSouthern
Missouri FloridaState
OhioState SouthDakotaState
Gonzaga NorthCarolina-Greensboro
Houston SanDiegoState
Michigan Montana
TexasA&M Providence
NorthCarolina Lipscomb
Kansas Pennsylvania
SetonHall NorthCarolinaState
Clemson NewMexicoState
Auburn CollegeofCharleston
TexasChristian Syracuse
MichiganState Bucknell
RhodeIsland Oklahoma
Duke Iona
Virginia Maryland-BaltimoreCounty
Creighton KansasState
Kentucky Davidson
Arizona Buffalo
Miami(FL) Loyola(IL)
Tennessee WrightState
Nevada Texas
Cincinnati GeorgiaState
