Duke NorthDakotaState
VirginiaCommonwealth CentralFlorida
MississippiState Liberty
VirginiaTech SaintLouis
Maryland Belmont
LouisianaState Yale
Louisville Minnesota
MichiganState Bradley
Gonzaga FairleighDickinson
Syracuse Baylor
Marquette MurrayState
FloridaState Vermont
Buffalo ArizonaState
TexasTech NorthernKentucky
Nevada Florida
Michigan Montana
NorthCarolina Iona
UtahState Washington
Auburn NewMexicoState
Kansas Northeastern
IowaState OhioState
Houston GeorgiaState
Wofford SetonHall
Kentucky AbileneChristian
Virginia Gardner-Webb
Mississippi Oklahoma
Wisconsin Oregon
KansasState UC-Irvine
Villanova SaintMarys
Purdue OldDominion
Cincinnati Iowa
Tennessee Colgate
