Michigan TexasSouthern
LouisianaState St.Bonaventure
Colorado Georgetown
FloridaState NorthCarolina-Greensboro
BrighamYoung UCLA
Texas AbileneChristian
Connecticut Maryland
Alabama Iona
Gonzaga NorfolkState
Oklahoma Missouri
Creighton UC-SantaBarbara
Virginia Ohio
SouthernCalifornia Drake
Kansas EasternWashington
Oregon VirginiaCommonwealth
Iowa GrandCanyon
Illinois Drexel
Loyola GeorgiaTech
Tennessee OregonState
OklahomaState Liberty
SanDiegoState Syracuse
WestVirginia MoreheadState
Clemson Rutgers
Houston ClevelandState
Baylor Hartford
NorthCarolina Wisconsin
Villanova Winthrop
Purdue NorthTexas
TexasTech UtahState
Arkansas Colgate
Florida VirginiaTech
OhioState OralRoberts
