Gonzaga GeorgiaState
BoiseState Memphis
Connecticut NewMexicoState
Arkansas Vermont
Alabama NotreDame
TexasTech MontanaState
MichiganState Davidson
Duke CalStateFullerton
Arizona WrightState
SetonHall TexasChristian
Houston Alabama-Birmingham
Illinois Chattanooga
ColoradoState Michigan
Tennessee Longwood
OhioState Loyola
Villanova Delaware
Baylor NorfolkState
NorthCarolina Marquette
SaintMarys Indiana
UCLA Akron
Texas VirginiaTech
Purdue Yale
MurrayState SanFrancisco
Kentucky SaintPeters
Kansas TexasSouthern
SanDiegoState Creighton
Iowa Richmond
Providence SouthDakotaState
LouisianaState IowaState
Wisconsin Colgate
SouthernCalifornia MiamiFL
Auburn JacksonvilleState
